,Date,Country,Death Confirmed,Outbreak Case,Year,Month
351,2015-01-19,Nigeria,8.0,20.0,2015,1
352,2015-01-19,Senegal,0.0,1.0,2015,1
353,2015-01-19,Sierra Leone,3132.0,10306.0,2015,1
354,2015-01-19,Spain,0.0,1.0,2015,1
355,2015-01-19,United Kingdom,0.0,1.0,2015,1
356,2015-01-19,United States of America,1.0,4.0,2015,1
357,2015-01-20,Guinea,1876.0,2871.0,2015,1
358,2015-01-20,Liberia,3605.0,8478.0,2015,1
359,2015-01-20,Mali,6.0,8.0,2015,1
360,2015-01-20,Nigeria,8.0,20.0,2015,1
361,2015-01-20,Senegal,0.0,1.0,2015,1
362,2015-01-20,Sierra Leone,3145.0,10340.0,2015,1
363,2015-01-20,Spain,0.0,1.0,2015,1
364,2015-01-20,United Kingdom,0.0,1.0,2015,1
365,2015-01-20,United States of America,1.0,4.0,2015,1
366,2015-01-21,Guinea,1876.0,2871.0,2015,1
367,2015-01-21,Liberia,3605.0,8478.0,2015,1
368,2015-01-21,Mali,6.0,8.0,2015,1
369,2015-01-21,Nigeria,8.0,20.0,2015,1
370,2015-01-21,Senegal,0.0,1.0,2015,1
371,2015-01-21,Sierra Leone,3145.0,10340.0,2015,1
372,2015-01-21,Spain,0.0,1.0,2015,1
373,2015-01-21,United Kingdom,0.0,1.0,2015,1
374,2015-01-21,United States of America,1.0,4.0,2015,1
375,2015-01-22,Guinea,1879.0,2873.0,2015,1
376,2015-01-22,Liberia,3636.0,8524.0,2015,1
377,2015-01-22,Mali,6.0,8.0,2015,1
378,2015-01-22,Nigeria,8.0,20.0,2015,1
379,2015-01-22,Senegal,0.0,1.0,2015,1
380,2015-01-22,Sierra Leone,3153.0,10362.0,2015,1
381,2015-01-22,Spain,0.0,1.0,2015,1
382,2015-01-22,United Kingdom,0.0,1.0,2015,1
383,2015-01-22,United States of America,1.0,4.0,2015,1
384,2015-01-23,Guinea,1880.0,2873.0,2015,1
385,2015-01-23,Liberia,3636.0,8524.0,2015,1
386,2015-01-23,Mali,6.0,8.0,2015,1
387,2015-01-23,Nigeria,8.0,20.0,2015,1
388,2015-01-23,Senegal,0.0,1.0,2015,1
389,2015-01-23,Sierra Leone,3159.0,10400.0,2015,1
390,2015-01-23,Spain,0.0,1.0,2015,1
391,2015-01-23,United Kingdom,0.0,1.0,2015,1
392,2015-01-23,United States of America,1.0,4.0,2015,1
393,2015-01-26,Guinea,1906.0,2909.0,2015,1
394,2015-01-26,Liberia,3636.0,8524.0,2015,1
395,2015-01-26,Mali,6.0,8.0,2015,1
